amount0,amount1,amountUSD,sender,timestamp,token0_name,token0_symbol,token1_name,token1_symbol,price
0.005320419475650221,-827038.1714909881,9.678459763586709213080050727210555,0x17ae7649db068e56602d410472facb2e00471194,1743287003,Wrapped Ether,WETH,Wiener AI,WAI,9.678459763586709213080050727210555
0.873157,-0.000480094488939032,0.8732522637118619043989875877212425,0x74e2b8eee3ea8f4639b81e1e9b230cc9c06e5f6a,1743286991,USD Coin,USDC,Wrapped Ether,WETH,0.8732522637118619043989875877212425
0.274947347582937888,-500.000999,500.0810479290445489464784793396325,0x6719c6ebf80d6499ca9ce170cda72beb3f1d1a54,1743286991,Wrapped Ether,WETH,Tether USD,USDT,500.0810479290445489464784793396325
-48108.95703215,500.000999,500.000999,0x6719c6ebf80d6499ca9ce170cda72beb3f1d1a54,1743286991,SwftCoin,SWFTC,Tether USD,USDT,500.000999
639.88181005622463434,-0.163429849784081514,297.2978413719801050098592591649552,0x0cb89c08da36bd621b6dd4229f6c4de7027a5159,1743286991,Fetch,FET,Wrapped Ether,WETH,297.2978413719801050098592591649552
-655.556704137682888217,0.168452943826001492,306.4354317059627812098133287509534,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,1743286991,Fetch,FET,Wrapped Ether,WETH,306.4354317059627812098133287509534
-476.150252063760768047,0.005063793956353725,9.211628196228547576621120329840305,0x5141b82f5ffda4c6fe1e372978f1c5427640a190,1743286991,GraphLinq,GLQ,Wrapped Ether,WETH,9.211628196228547576621120329840305
50.0269,-0.005063793956353725,9.211628196228547576621120329840305,0x5141b82f5ffda4c6fe1e372978f1c5427640a190,1743286991,Chintai Exchange Token,CHEX,Wrapped Ether,WETH,9.211628196228547576621120329840305
-79.988012,0.044,80.01455621665099075770526385744545,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,1743286991,USD Coin,USDC,Wrapped Ether,WETH,80.01455621665099075770526385744545
0.005163195008383239,-9.384934,9.38869211616734430915720602116085,0xe592427a0aece92de3edee1f18e0157c05861564,1743286991,Wrapped Ether,WETH,Tether USD,USDT,9.38869211616734430915720602116085
-0.037529125458956124,68.283434,68.27663177311701639321055771318825,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,1743286979,Wrapped Ether,WETH,Tether USD,USDT,68.27663177311701639321055771318825
0.091796471217840692,-68.283434,68.283434,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,1743286979,BNB,BNB,Tether USD,USDT,68.283434
0.091796471217840692,-0.037571662379776172,68.34720913604041633305045451097455,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,1743286979,BNB,BNB,Wrapped Ether,WETH,68.34720913604041633305045451097455
1.567952706422688852,-2851.898667,2852.093197698251082809307213267332,0xd4bc53434c5e12cb41381a556c3c47e1a86e80e3,1743286979,Wrapped Ether,WETH,Tether USD,USDT,2852.093197698251082809307213267332
-6255.666082,3.440624994323791872,6257.28089013636006020325360866781,0xd4bc53434c5e12cb41381a556c3c47e1a86e80e3,1743286979,USD Coin,USDC,Wrapped Ether,WETH,6257.28089013636006020325360866781
200300,-2077.766855,2077.766855,0x0f4a1d7fdf4890be35e71f3e0bbc4a0ec377eca3,1743286979,SwftCoin,SWFTC,Tether USD,USDT,2077.766855
-2491.320454204643592133,300,300,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,1743286979,Clearpool,CPOOL,USD Coin,USDC,300
0.875303,-0.000481274483046826,0.875398536744732860290847236877067,0x74e2b8eee3ea8f4639b81e1e9b230cc9c06e5f6a,1743286979,USD Coin,USDC,Wrapped Ether,WETH,0.875398536744732860290847236877067
0.877456,-0.000482458327959642,0.8775518123079619407923257734650565,0x74e2b8eee3ea8f4639b81e1e9b230cc9c06e5f6a,1743286967,USD Coin,USDC,Wrapped Ether,WETH,0.8775518123079619407923257734650565
-360.878946491016018434,0.497410939509382144,904.8481583157625646130837705663085,0xeff6cb8b614999d130e537751ee99724d01aa167,1743286967,Pendle,PENDLE,Wrapped Ether,WETH,904.8481583157625646130837705663085
-0.274805880139702022,500,499.9518755900435898832214384575506,0x111111125421ca6dc452d289314280a0f8842a65,1743286967,Wrapped Ether,WETH,Tether USD,USDT,499.9518755900435898832214384575506
0.018493901898804008,-55.088169173947362273,33.64255134740467780527704396158736,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,1743286967,Wrapped Ether,WETH,Rail,RAIL,33.64255134740467780527704396158736
33.625516102098202527,-0.018493901898804008,33.63403443203565521670986733214463,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,1743286967,Dai Stablecoin,DAI,Wrapped Ether,WETH,33.63403443203565521670986733214463
0.5,-34946287.876650176853092364,909.5579594693406990387559967601235,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,1743286967,Wrapped Ether,WETH,Wall Street Pepe,WEPE,909.5579594693406990387559967601235
-0.000453240639602687,0.000495625,0.9015993273239839679221668817884725,0x1111111254eeb25477b68fb85ed929f73a960582,1743286967,Coinbase Wrapped Staked ETH,cbETH,Wrapped Ether,WETH,0.9015993273239839679221668817884725
-54.399010854485081824,0.00201942427714965,3.673566849654167986915202518695753,0x1111111254eeb25477b68fb85ed929f73a960582,1743286967,Pirate Nation Token,PIRATE,Wrapped Ether,WETH,3.673566849654167986915202518695753
-4449.726270725835383015,0.536930484493158445,976.738791704963347250101352822963,0x0f4a1d7fdf4890be35e71f3e0bbc4a0ec377eca3,1743286955,Realio Network,RIO,Wrapped Ether,WETH,976.738791704963347250101352822963
